Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
1,1,1,10615,372,0.0,0
0,0,0,7921,354,1.0,0
1,1,0,4552,533,1.0,0
1,0,0,9707,106,1.0,1
1,0,1,13288,225,1.0,1
0,1,0,12095,182,1.0,1
1,0,0,5951,127,1.0,0
1,0,1,6425,365,1.0,0
1,1,1,13702,382,1.0,1
0,1,1,4146,496,0.0,1
1,1,1,10793,549,0.0,0
1,1,0,12667,569,1.0,1
1,0,1,10782,350,1.0,1
1,1,0,4406,567,1.0,1
0,1,1,3246,287,1.0,1
1,1,1,5809,482,1.0,0
0,1,0,11412,398,1.0,0
0,1,0,1948,168,1.0,0
0,0,0,4512,418,1.0,1
1,1,1,13196,425,1.0,0
0,0,1,3068,198,1.0,1
1,1,0,12878,292,0.0,1
0,1,0,4991,326,1.0,1
0,1,1,12238,550,0.0,0
0,1,0,14497,281,0.0,1
0,1,0,14167,519,1.0,1
0,1,1,8810,426,1.0,0
0,1,0,8383,192,1.0,1
0,1,1,7484,242,1.0,0
0,0,1,10739,302,1.0,0
1,1,1,14326,501,1.0,0
1,0,0,8588,591,0.0,1
0,1,0,14540,231,0.0,1
0,0,0,14322,571,1.0,0
0,1,0,6268,366,1.0,1
1,1,1,2564,233,0.0,1
0,1,1,5321,477,1.0,1
1,0,0,10259,278,1.0,1
1,0,0,2936,285,1.0,1
1,0,0,14202,543,0.0,0
1,0,0,14236,117,1.0,1
1,1,1,14397,562,0.0,1
0,1,0,12397,422,1.0,1
0,1,1,7597,500,1.0,0
0,0,0,3983,196,1.0,1
0,1,0,9219,133,1.0,1
0,0,0,6300,513,1.0,1
1,0,1,7882,502,1.0,1
0,0,0,14853,492,1.0,1
0,0,1,6329,523,1.0,0
1,0,1,13471,399,1.0,1
0,1,0,14587,450,1.0,1
1,0,1,7653,286,1.0,1
0,0,1,4294,446,1.0,1
1,1,1,11552,210,1.0,1
0,0,0,13028,508,1.0,1
0,0,1,9112,346,1.0,1
1,1,1,11582,170,1.0,0
1,1,0,14518,408,1.0,1
1,1,0,13983,531,1.0,1
1,0,1,2597,426,0.0,1
1,1,1,3138,311,1.0,0
1,1,1,11350,408,1.0,0
1,1,1,10817,207,1.0,1
1,0,0,9955,276,1.0,1
0,1,0,12684,526,1.0,1
0,0,1,14707,327,1.0,1
1,0,0,1660,118,1.0,1
0,1,1,10948,421,0.0,0
0,0,0,7406,517,1.0,0
0,0,0,14557,347,1.0,0
0,1,1,10002,308,1.0,1
1,0,1,9918,315,1.0,1
0,1,1,9964,300,1.0,1
1,0,1,8581,537,1.0,1
0,0,0,5912,356,0.0,0
0,1,0,11614,205,1.0,1
0,1,1,4657,575,1.0,1
1,0,0,3838,410,1.0,0
0,0,0,7088,370,0.0,0
1,1,1,3101,482,0.0,0
0,0,1,7388,568,0.0,0
1,0,0,5218,370,1.0,1
0,0,1,7046,220,1.0,1
1,0,1,12114,506,1.0,1
1,1,0,3425,344,0.0,1
0,1,0,10258,165,1.0,1
1,1,1,4415,529,0.0,1
0,1,0,8398,327,1.0,0
0,1,1,9943,469,1.0,1
0,1,1,7152,236,1.0,1
0,0,0,12046,293,1.0,1
0,1,0,5001,293,1.0,1
0,0,1,14462,245,1.0,1
0,0,1,12003,244,1.0,0
0,0,1,11807,588,0.0,1
0,1,0,8774,171,1.0,0
0,0,1,3102,453,0.0,1
0,1,0,12962,517,1.0,1
1,0,1,8859,552,0.0,1
1,0,0,2013,291,1.0,1
0,1,1,10133,143,1.0,1
0,0,0,9692,256,1.0,1
0,0,1,8001,545,1.0,1
0,0,1,14926,575,1.0,0
0,0,1,2402,115,0.0,1
0,1,1,7219,177,1.0,1
0,0,0,10912,151,1.0,1
0,0,0,9648,101,0.0,1
1,1,0,3821,331,1.0,1
0,0,0,2355,160,1.0,1
1,0,0,2517,231,1.0,1
0,0,1,6779,481,1.0,1
0,0,0,11912,151,1.0,1
1,1,0,9212,396,0.0,1
0,0,0,6180,279,1.0,0
